explorerTitle	Count - Question: 
selection	World

graphers
	question Dropdown	answer Dropdown	gender Dropdown	age_group Dropdown	yVariableIds	hasMapTab
	mh1 - Importance of mental health for well-being	Less important	all	50-64	676773	true
	mh1 - Importance of mental health for well-being	Less important	all	65+	676775	true
	mh1 - Importance of mental health for well-being	Less important	all	Don't know/Refused	676777	true
	mh1 - Importance of mental health for well-being	Less important	all	all	676779	true
	mh1 - Importance of mental health for well-being	Less important	female	15-29	676781	true
	mh1 - Importance of mental health for well-being	Less important	female	30-49	676783	true
	mh1 - Importance of mental health for well-being	Less important	female	50-64	676784	true
	mh1 - Importance of mental health for well-being	Less important	female	65+	676787	true
	mh1 - Importance of mental health for well-being	Less important	female	Don't know/Refused	676789	true
	mh1 - Importance of mental health for well-being	Less important	female	all	676791	true
	mh1 - Importance of mental health for well-being	Less important	male	15-29	676793	true
	mh1 - Importance of mental health for well-being	Less important	male	30-49	676795	true
	mh1 - Importance of mental health for well-being	Less important	male	50-64	676797	true
	mh1 - Importance of mental health for well-being	Less important	male	65+	676799	true
	mh1 - Importance of mental health for well-being	Less important	male	Don't know/Refused	676801	true
	mh1 - Importance of mental health for well-being	Less important	male	all	676802	true
	mh1 - Importance of mental health for well-being	More important	all	15-29	676805	true
	mh1 - Importance of mental health for well-being	More important	all	30-49	676807	true
	mh1 - Importance of mental health for well-being	More important	all	50-64	676809	true
	mh1 - Importance of mental health for well-being	More important	all	65+	676811	true
	mh1 - Importance of mental health for well-being	More important	all	Don't know/Refused	676813	true
	mh1 - Importance of mental health for well-being	More important	all	all	676814	true
	mh1 - Importance of mental health for well-being	More important	female	15-29	676817	true
	mh1 - Importance of mental health for well-being	More important	female	30-49	676819	true
	mh1 - Importance of mental health for well-being	More important	female	50-64	676821	true
	mh1 - Importance of mental health for well-being	More important	female	65+	676823	true
	mh1 - Importance of mental health for well-being	More important	female	Don't know/Refused	676825	true
	mh1 - Importance of mental health for well-being	More important	female	all	676827	true
	mh1 - Importance of mental health for well-being	More important	male	15-29	676828	true
	mh1 - Importance of mental health for well-being	More important	male	30-49	676831	true
	mh1 - Importance of mental health for well-being	More important	male	50-64	676834	true
	mh1 - Importance of mental health for well-being	More important	male	65+	676835	true
	mh1 - Importance of mental health for well-being	More important	male	all	676836	true
	mh1 - Importance of mental health for well-being	More important	male	Don't know/Refused	676837	true
	mh2a - How much science can explain how the human body works	A lot	all	15-29	676841	true
	mh2a - How much science can explain how the human body works	A lot	all	30-49	676843	true
	mh2a - How much science can explain how the human body works	A lot	all	50-64	676845	true
	mh2a - How much science can explain how the human body works	A lot	all	65+	676847	true
	mh2a - How much science can explain how the human body works	A lot	all	Don't know/Refused	676849	true
	mh2a - How much science can explain how the human body works	A lot	all	all	676851	true
	mh2a - How much science can explain how the human body works	A lot	female	15-29	676853	true
	mh2a - How much science can explain how the human body works	A lot	female	30-49	676855	true
	mh2a - How much science can explain how the human body works	A lot	female	50-64	676857	true
	mh2a - How much science can explain how the human body works	A lot	female	65+	676858	true
	mh2a - How much science can explain how the human body works	A lot	female	Don't know/Refused	676861	true
	mh2a - How much science can explain how the human body works	A lot	male	15-29	676865	true
	mh2a - How much science can explain how the human body works	A lot	female	all	676866	true
	mh2a - How much science can explain how the human body works	A lot	male	30-49	676867	true
	mh2a - How much science can explain how the human body works	A lot	male	50-64	676869	true
	mh2a - How much science can explain how the human body works	A lot	male	65+	676870	true
	mh2a - How much science can explain how the human body works	A lot	male	Don't know/Refused	676872	true
	mh2a - How much science can explain how the human body works	A lot	male	all	676875	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	all	15-29	676877	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	all	30-49	676879	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	all	50-64	676881	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	all	65+	676882	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	all	Don't know/Refused	676884	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	all	all	676887	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	female	15-29	676889	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	female	30-49	676891	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	female	50-64	676893	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	female	65+	676895	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	female	Don't know/Refused	676897	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	female	all	676898	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	male	15-29	676901	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	male	30-49	676903	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	male	50-64	676904	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	male	65+	676908	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	male	Don't know/Refused	676909	true
	mh2a - How much science can explain how the human body works	Don't know/Refused	male	all	676911	true
	mh2a - How much science can explain how the human body works	Not at all	all	15-29	676914	true
	mh2a - How much science can explain how the human body works	Not at all	all	30-49	676915	true
	mh2a - How much science can explain how the human body works	Not at all	all	50-64	676916	true
	mh2a - How much science can explain how the human body works	Not at all	all	65+	676919	true
	mh2a - How much science can explain how the human body works	Not at all	all	Don't know/Refused	676921	true
	mh2a - How much science can explain how the human body works	Not at all	all	all	676923	true
	mh2a - How much science can explain how the human body works	Not at all	female	30-49	676925	true
	mh2a - How much science can explain how the human body works	Not at all	female	15-29	676926	true
	mh2a - How much science can explain how the human body works	Not at all	female	50-64	676928	true
	mh2a - How much science can explain how the human body works	Not at all	female	65+	676931	true
	mh2a - How much science can explain how the human body works	Not at all	female	Don't know/Refused	676933	true
	mh2a - How much science can explain how the human body works	Not at all	female	all	676935	true
	mh2a - How much science can explain how the human body works	Not at all	male	15-29	676936	true
	mh2a - How much science can explain how the human body works	Not at all	male	30-49	676939	true
	mh2a - How much science can explain how the human body works	Not at all	male	50-64	676941	true
	mh2a - How much science can explain how the human body works	Not at all	male	65+	676943	true
	mh2a - How much science can explain how the human body works	Not at all	male	Don't know/Refused	676945	true
	mh2a - How much science can explain how the human body works	Not at all	male	all	676947	true
	mh2a - How much science can explain how the human body works	Not much	all	15-29	676949	true
	mh2a - How much science can explain how the human body works	Not much	all	30-49	676952	true
	mh2a - How much science can explain how the human body works	Not much	all	50-64	676953	true
	mh2a - How much science can explain how the human body works	Not much	all	65+	676955	true
	mh2a - How much science can explain how the human body works	Not much	all	Don't know/Refused	676957	true
	mh2a - How much science can explain how the human body works	Not much	all	all	676959	true
	mh2a - How much science can explain how the human body works	Not much	female	15-29	676962	true
	mh2a - How much science can explain how the human body works	Not much	female	30-49	676964	true
	mh2a - How much science can explain how the human body works	Not much	female	50-64	676965	true
	mh2a - How much science can explain how the human body works	Not much	female	65+	676967	true
	mh2a - How much science can explain how the human body works	Not much	female	Don't know/Refused	676968	true
	mh2a - How much science can explain how the human body works	Not much	female	all	676971	true
	mh2a - How much science can explain how the human body works	Not much	male	15-29	676973	true
	mh2a - How much science can explain how the human body works	Not much	male	30-49	676974	true
	mh2a - How much science can explain how the human body works	Not much	male	50-64	676977	true
	mh2a - How much science can explain how the human body works	Not much	male	65+	676979	true
	mh2a - How much science can explain how the human body works	Not much	male	Don't know/Refused	676981	true
	mh2a - How much science can explain how the human body works	Not much	male	all	676983	true
	mh2a - How much science can explain how the human body works	Some	all	15-29	676985	true
	mh2a - How much science can explain how the human body works	Some	all	30-49	676987	true
	mh2a - How much science can explain how the human body works	Some	all	50-64	676989	true
	mh2a - How much science can explain how the human body works	Some	all	65+	676992	true
	mh2a - How much science can explain how the human body works	Some	all	Don't know/Refused	676993	true
	mh2a - How much science can explain how the human body works	Some	all	all	676995	true
	mh2a - How much science can explain how the human body works	Some	female	15-29	676997	true
	mh2a - How much science can explain how the human body works	Some	female	30-49	677000	true
	mh2a - How much science can explain how the human body works	Some	female	50-64	677001	true
	mh2a - How much science can explain how the human body works	Some	female	65+	677004	true
	mh2a - How much science can explain how the human body works	Some	female	Don't know/Refused	677005	true
	mh2a - How much science can explain how the human body works	Some	female	all	677008	true
	mh2a - How much science can explain how the human body works	Some	male	15-29	677009	true
	mh2a - How much science can explain how the human body works	Some	male	30-49	677011	true
	mh2a - How much science can explain how the human body works	Some	male	50-64	677013	true
	mh2a - How much science can explain how the human body works	Some	male	65+	677015	true
	mh2a - How much science can explain how the human body works	Some	male	Don't know/Refused	677017	true
	mh2a - How much science can explain how the human body works	Some	male	all	677019	true
	mh2b - How much science can explain how feelings and emotions work	A lot	all	15-29	677021	true
	mh2b - How much science can explain how feelings and emotions work	A lot	all	30-49	677023	true
	mh2b - How much science can explain how feelings and emotions work	A lot	all	50-64	677024	true
	mh2b - How much science can explain how feelings and emotions work	A lot	all	65+	677026	true
	mh2b - How much science can explain how feelings and emotions work	A lot	all	Don't know/Refused	677029	true
	mh2b - How much science can explain how feelings and emotions work	A lot	all	all	677031	true
	mh2b - How much science can explain how feelings and emotions work	A lot	female	15-29	677033	true
	mh2b - How much science can explain how feelings and emotions work	A lot	female	30-49	677035	true
	mh2b - How much science can explain how feelings and emotions work	A lot	female	50-64	677036	true
	mh2b - How much science can explain how feelings and emotions work	A lot	female	65+	677039	true
	mh2b - How much science can explain how feelings and emotions work	A lot	female	Don't know/Refused	677041	true
	mh2b - How much science can explain how feelings and emotions work	A lot	female	all	677043	true
	mh2b - How much science can explain how feelings and emotions work	A lot	male	15-29	677045	true
	mh2b - How much science can explain how feelings and emotions work	A lot	male	30-49	677047	true
	mh2b - How much science can explain how feelings and emotions work	A lot	male	50-64	677049	true
	mh2b - How much science can explain how feelings and emotions work	A lot	male	65+	677051	true
	mh2b - How much science can explain how feelings and emotions work	A lot	male	Don't know/Refused	677053	true
	mh2b - How much science can explain how feelings and emotions work	A lot	male	all	677055	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	all	15-29	677057	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	all	30-49	677059	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	all	50-64	677061	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	all	65+	677063	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	all	Don't know/Refused	677066	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	all	all	677067	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	female	15-29	677069	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	female	50-64	677072	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	female	30-49	677073	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	female	65+	677075	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	female	Don't know/Refused	677076	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	female	all	677079	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	male	15-29	677081	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	male	30-49	677083	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	male	50-64	677085	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	male	65+	677087	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	male	Don't know/Refused	677089	true
	mh2b - How much science can explain how feelings and emotions work	Don't know/Refused	male	all	677091	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	all	15-29	677093	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	all	30-49	677095	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	all	50-64	677097	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	all	65+	677099	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	all	Don't know/Refused	677101	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	female	15-29	677103	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	all	all	677104	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	female	30-49	677106	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	female	50-64	677109	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	female	65+	677111	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	female	Don't know/Refused	677113	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	female	all	677115	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	male	15-29	677117	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	male	30-49	677119	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	male	50-64	677121	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	male	65+	677123	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	male	Don't know/Refused	677125	true
	mh2b - How much science can explain how feelings and emotions work	Not at all	male	all	677127	true
	mh2b - How much science can explain how feelings and emotions work	Not much	all	15-29	677128	true
	mh2b - How much science can explain how feelings and emotions work	Not much	all	30-49	677130	true
	mh2b - How much science can explain how feelings and emotions work	Not much	all	50-64	677132	true
	mh2b - How much science can explain how feelings and emotions work	Not much	all	65+	677135	true
	mh2b - How much science can explain how feelings and emotions work	Not much	all	Don't know/Refused	677137	true
	mh2b - How much science can explain how feelings and emotions work	Not much	all	all	677139	true
	mh2b - How much science can explain how feelings and emotions work	Not much	female	15-29	677141	true
	mh2b - How much science can explain how feelings and emotions work	Not much	female	30-49	677143	true
	mh2b - How much science can explain how feelings and emotions work	Not much	female	50-64	677145	true
	mh2b - How much science can explain how feelings and emotions work	Not much	female	65+	677147	true
	mh2b - How much science can explain how feelings and emotions work	Not much	female	Don't know/Refused	677149	true
	mh2b - How much science can explain how feelings and emotions work	Not much	female	all	677151	true
	mh2b - How much science can explain how feelings and emotions work	Not much	male	15-29	677152	true
	mh2b - How much science can explain how feelings and emotions work	Not much	male	30-49	677155	true
	mh2b - How much science can explain how feelings and emotions work	Not much	male	50-64	677157	true
	mh2b - How much science can explain how feelings and emotions work	Not much	male	65+	677158	true
	mh2b - How much science can explain how feelings and emotions work	Not much	male	Don't know/Refused	677161	true
	mh2b - How much science can explain how feelings and emotions work	Not much	male	all	677163	true
	mh2b - How much science can explain how feelings and emotions work	Some	all	15-29	677165	true
	mh2b - How much science can explain how feelings and emotions work	Some	all	30-49	677167	true
	mh2b - How much science can explain how feelings and emotions work	Some	all	50-64	677169	true
	mh2b - How much science can explain how feelings and emotions work	Some	all	65+	677171	true
	mh2b - How much science can explain how feelings and emotions work	Some	all	Don't know/Refused	677173	true
	mh2b - How much science can explain how feelings and emotions work	Some	all	all	677175	true
	mh2b - How much science can explain how feelings and emotions work	Some	female	15-29	677177	true
	mh2b - How much science can explain how feelings and emotions work	Some	female	30-49	677179	true
	mh2b - How much science can explain how feelings and emotions work	Some	female	50-64	677181	true
	mh2b - How much science can explain how feelings and emotions work	Some	female	65+	677183	true
	mh2b - How much science can explain how feelings and emotions work	Some	female	all	677186	true
	mh2b - How much science can explain how feelings and emotions work	Some	female	Don't know/Refused	677187	true
	mh2b - How much science can explain how feelings and emotions work	Some	male	15-29	677189	true
	mh2b - How much science can explain how feelings and emotions work	Some	male	30-49	677191	true
	mh2b - How much science can explain how feelings and emotions work	Some	male	50-64	677193	true
	mh2b - How much science can explain how feelings and emotions work	Some	male	65+	677195	true
	mh2b - How much science can explain how feelings and emotions work	Some	male	Don't know/Refused	677197	true
	mh2b - How much science can explain how feelings and emotions work	Some	male	all	677199	true
	mh3a - How much science helps to treat cancer	A lot	all	15-29	677201	true
	mh3a - How much science helps to treat cancer	A lot	all	30-49	677203	true
	mh3a - How much science helps to treat cancer	A lot	all	50-64	677205	true
	mh3a - How much science helps to treat cancer	A lot	all	65+	677207	true
	mh3a - How much science helps to treat cancer	A lot	all	Don't know/Refused	677209	true
	mh3a - How much science helps to treat cancer	A lot	all	all	677211	true
	mh3a - How much science helps to treat cancer	A lot	female	15-29	677213	true
	mh3a - How much science helps to treat cancer	A lot	female	30-49	677215	true
	mh3a - How much science helps to treat cancer	A lot	female	50-64	677217	true
	mh3a - How much science helps to treat cancer	A lot	female	65+	677219	true
	mh3a - How much science helps to treat cancer	A lot	female	Don't know/Refused	677220	true
	mh3a - How much science helps to treat cancer	A lot	female	all	677223	true
	mh3a - How much science helps to treat cancer	A lot	male	15-29	677224	true
	mh3a - How much science helps to treat cancer	A lot	male	30-49	677227	true
	mh3a - How much science helps to treat cancer	A lot	male	50-64	677229	true
	mh3a - How much science helps to treat cancer	A lot	male	65+	677231	true
	mh3a - How much science helps to treat cancer	A lot	male	Don't know/Refused	677233	true
	mh3a - How much science helps to treat cancer	A lot	male	all	677236	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	all	15-29	677237	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	all	30-49	677240	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	all	50-64	677241	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	all	65+	677244	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	all	Don't know/Refused	677246	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	all	all	677247	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	female	15-29	677249	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	female	30-49	677251	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	female	50-64	677253	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	female	Don't know/Refused	677255	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	female	65+	677256	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	female	all	677259	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	male	15-29	677261	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	male	30-49	677263	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	male	50-64	677265	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	male	65+	677267	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	male	Don't know/Refused	677269	true
	mh3a - How much science helps to treat cancer	Don't know/Refused	male	all	677271	true
	mh3a - How much science helps to treat cancer	Not at all	all	15-29	677273	true
	mh3a - How much science helps to treat cancer	Not at all	all	30-49	677275	true
	mh3a - How much science helps to treat cancer	Not at all	all	50-64	677277	true
	mh3a - How much science helps to treat cancer	Not at all	all	65+	677278	true
	mh3a - How much science helps to treat cancer	Not at all	all	Don't know/Refused	677281	true
	mh3a - How much science helps to treat cancer	Not at all	all	all	677284	true
	mh3a - How much science helps to treat cancer	Not at all	female	15-29	677285	true
	mh3a - How much science helps to treat cancer	Not at all	female	30-49	677287	true
	mh3a - How much science helps to treat cancer	Not at all	female	50-64	677289	true
	mh3a - How much science helps to treat cancer	Not at all	female	65+	677291	true
	mh3a - How much science helps to treat cancer	Not at all	female	Don't know/Refused	677293	true
	mh3a - How much science helps to treat cancer	Not at all	female	all	677295	true
	mh3a - How much science helps to treat cancer	Not at all	male	15-29	677297	true
	mh3a - How much science helps to treat cancer	Not at all	male	30-49	677299	true
	mh3a - How much science helps to treat cancer	Not at all	male	50-64	677301	true
	mh3a - How much science helps to treat cancer	Not at all	male	65+	677304	true
	mh3a - How much science helps to treat cancer	Not at all	male	Don't know/Refused	677305	true
	mh3a - How much science helps to treat cancer	Not at all	male	all	677307	true
	mh3a - How much science helps to treat cancer	Not much	all	15-29	677309	true
	mh3a - How much science helps to treat cancer	Not much	all	30-49	677311	true
	mh3a - How much science helps to treat cancer	Not much	all	50-64	677312	true
	mh3a - How much science helps to treat cancer	Not much	all	65+	677315	true
	mh3a - How much science helps to treat cancer	Not much	all	Don't know/Refused	677317	true
	mh3a - How much science helps to treat cancer	Not much	all	all	677319	true
	mh3a - How much science helps to treat cancer	Not much	female	15-29	677321	true
	mh3a - How much science helps to treat cancer	Not much	female	30-49	677323	true
	mh3a - How much science helps to treat cancer	Not much	female	50-64	677325	true
	mh3a - How much science helps to treat cancer	Not much	female	65+	677327	true
	mh3a - How much science helps to treat cancer	Not much	female	Don't know/Refused	677328	true
	mh3a - How much science helps to treat cancer	Not much	female	all	677330	true
	mh3a - How much science helps to treat cancer	Not much	male	15-29	677333	true
	mh3a - How much science helps to treat cancer	Not much	male	30-49	677335	true
	mh3a - How much science helps to treat cancer	Not much	male	50-64	677336	true
	mh3a - How much science helps to treat cancer	Not much	male	65+	677339	true
	mh3a - How much science helps to treat cancer	Not much	male	Don't know/Refused	677340	true
	mh3a - How much science helps to treat cancer	Not much	male	all	677343	true
	mh3a - How much science helps to treat cancer	Some	all	30-49	677345	true
	mh3a - How much science helps to treat cancer	Some	all	15-29	677346	true
	mh3a - How much science helps to treat cancer	Some	all	50-64	677349	true
	mh3a - How much science helps to treat cancer	Some	all	65+	677351	true
	mh3a - How much science helps to treat cancer	Some	all	Don't know/Refused	677353	true
	mh3a - How much science helps to treat cancer	Some	all	all	677355	true
	mh3a - How much science helps to treat cancer	Some	female	15-29	677357	true
	mh3a - How much science helps to treat cancer	Some	female	30-49	677359	true
	mh3a - How much science helps to treat cancer	Some	female	50-64	677361	true
	mh3a - How much science helps to treat cancer	Some	female	65+	677363	true
	mh3a - How much science helps to treat cancer	Some	female	Don't know/Refused	677365	true
	mh3a - How much science helps to treat cancer	Some	female	all	677367	true
	mh3a - How much science helps to treat cancer	Some	male	15-29	677369	true
	mh3a - How much science helps to treat cancer	Some	male	30-49	677371	true
	mh3a - How much science helps to treat cancer	Some	male	50-64	677373	true
	mh3a - How much science helps to treat cancer	Some	male	65+	677375	true
	mh3a - How much science helps to treat cancer	Some	male	Don't know/Refused	677376	true
	mh3a - How much science helps to treat cancer	Some	male	all	677378	true
	mh3b - How much science helps to treat anxiety or depression	A lot	all	15-29	677381	true
	mh3b - How much science helps to treat anxiety or depression	A lot	all	30-49	677383	true
	mh3b - How much science helps to treat anxiety or depression	A lot	all	50-64	677386	true
	mh3b - How much science helps to treat anxiety or depression	A lot	all	65+	677387	true
	mh3b - How much science helps to treat anxiety or depression	A lot	all	Don't know/Refused	677389	true
	mh3b - How much science helps to treat anxiety or depression	A lot	all	all	677391	true
	mh3b - How much science helps to treat anxiety or depression	A lot	female	15-29	677393	true
	mh3b - How much science helps to treat anxiety or depression	A lot	female	30-49	677395	true
	mh3b - How much science helps to treat anxiety or depression	A lot	female	50-64	677397	true
	mh3b - How much science helps to treat anxiety or depression	A lot	female	65+	677399	true
	mh3b - How much science helps to treat anxiety or depression	A lot	female	Don't know/Refused	677401	true
	mh3b - How much science helps to treat anxiety or depression	A lot	female	all	677403	true
	mh3b - How much science helps to treat anxiety or depression	A lot	male	15-29	677405	true
	mh3b - How much science helps to treat anxiety or depression	A lot	male	30-49	677407	true
	mh3b - How much science helps to treat anxiety or depression	A lot	male	50-64	677410	true
	mh3b - How much science helps to treat anxiety or depression	A lot	male	65+	677411	true
	mh3b - How much science helps to treat anxiety or depression	A lot	male	Don't know/Refused	677413	true
	mh3b - How much science helps to treat anxiety or depression	A lot	male	all	677416	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	all	15-29	677418	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	all	30-49	677419	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	all	50-64	677421	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	all	65+	677423	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	all	Don't know/Refused	677425	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	all	all	677426	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	female	15-29	677429	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	female	30-49	677431	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	female	50-64	677433	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	female	65+	677435	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	female	Don't know/Refused	677437	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	female	all	677440	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	male	15-29	677441	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	male	30-49	677443	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	male	50-64	677445	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	male	65+	677447	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	male	Don't know/Refused	677450	true
	mh3b - How much science helps to treat anxiety or depression	Don't know/Refused	male	all	677451	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	all	15-29	677453	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	all	30-49	677455	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	all	50-64	677457	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	all	65+	677458	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	all	Don't know/Refused	677461	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	all	all	677463	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	female	15-29	677466	true
	mh3b - How much science helps to treat anxiety or depression	Not at all	female	30-49	677468	true
